1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	None
3	b	2	above	None	None	None	None	None	None	None
4	struct	3	b	None	None	None	sup	None	None	right
5	2	4	sup	None	None	None	None	None	None	None
6	<eos>	5	2	None	None	None	None	None	None	None
7	c	4	right	None	None	None	None	None	None	None
8	struct	7	c	None	None	None	sup	None	None	right
9	2	8	sup	None	None	None	None	None	None	None
10	<eos>	9	2	None	None	None	None	None	None	None
11	-	8	right	None	None	None	None	None	None	None
12	4	11	-	None	None	None	None	None	None	None
13	b	12	4	None	None	None	None	None	None	None
14	struct	13	b	None	None	None	sup	None	None	right
15	3	14	sup	None	None	None	None	None	None	None
16	<eos>	15	3	None	None	None	None	None	None	None
17	d	14	right	None	None	None	None	None	None	None
18	-	17	d	None	None	None	None	None	None	None
19	4	18	-	None	None	None	None	None	None	None
20	a	19	4	None	None	None	None	None	None	None
21	c	20	a	None	None	None	None	None	None	None
22	struct	21	c	None	None	None	sup	None	None	right
23	3	22	sup	None	None	None	None	None	None	None
24	<eos>	23	3	None	None	None	None	None	None	None
25	+	22	right	None	None	None	None	None	None	None
26	1	25	+	None	None	None	None	None	None	None
27	8	26	1	None	None	None	None	None	None	None
28	a	27	8	None	None	None	None	None	None	None
29	b	28	a	None	None	None	None	None	None	None
30	c	29	b	None	None	None	None	None	None	None
31	d	30	c	None	None	None	None	None	None	None
32	-	31	d	None	None	None	None	None	None	None
33	2	32	-	None	None	None	None	None	None	None
34	7	33	2	None	None	None	None	None	None	None
35	a	34	7	None	None	None	None	None	None	None
36	struct	35	a	None	None	None	sup	None	None	right
37	2	36	sup	None	None	None	None	None	None	None
38	<eos>	37	2	None	None	None	None	None	None	None
39	d	36	right	None	None	None	None	None	None	None
40	struct	39	d	None	None	None	sup	None	None	None
41	2	40	sup	None	None	None	None	None	None	None
42	<eos>	41	2	None	None	None	None	None	None	None
43	a	2	below	None	None	None	None	None	None	None
44	struct	43	a	None	None	None	sup	None	None	None
45	4	44	sup	None	None	None	None	None	None	None
46	<eos>	45	4	None	None	None	None	None	None	None
