1	f	0	<sos>	None	None	None	None	None	None	None
2	(	1	f	None	None	None	None	None	None	None
3	x	2	(	None	None	None	None	None	None	None
4	)	3	x	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	a	5	=	None	None	None	None	None	None	None
7	struct	6	a	None	None	sub	None	None	None	right
8	n	7	sub	None	None	None	None	None	None	None
9	<eos>	8	n	None	None	None	None	None	None	None
10	x	7	right	None	None	None	None	None	None	None
11	struct	10	x	None	None	None	sup	None	None	right
12	n	11	sup	None	None	None	None	None	None	None
13	<eos>	12	n	None	None	None	None	None	None	None
14	+	11	right	None	None	None	None	None	None	None
15	a	14	+	None	None	None	None	None	None	None
16	struct	15	a	None	None	sub	None	None	None	right
17	n	16	sub	None	None	None	None	None	None	None
18	-	17	n	None	None	None	None	None	None	None
19	1	18	-	None	None	None	None	None	None	None
20	<eos>	19	1	None	None	None	None	None	None	None
21	x	16	right	None	None	None	None	None	None	None
22	struct	21	x	None	None	None	sup	None	None	right
23	n	22	sup	None	None	None	None	None	None	None
24	-	23	n	None	None	None	None	None	None	None
25	1	24	-	None	None	None	None	None	None	None
26	<eos>	25	1	None	None	None	None	None	None	None
27	+	22	right	None	None	None	None	None	None	None
28	\cdots	27	+	None	None	None	None	None	None	None
29	+	28	\cdots	None	None	None	None	None	None	None
30	a	29	+	None	None	None	None	None	None	None
31	struct	30	a	None	None	sub	None	None	None	right
32	1	31	sub	None	None	None	None	None	None	None
33	<eos>	32	1	None	None	None	None	None	None	None
34	x	31	right	None	None	None	None	None	None	None
35	+	34	x	None	None	None	None	None	None	None
36	a	35	+	None	None	None	None	None	None	None
37	struct	36	a	None	None	sub	None	None	None	None
38	0	37	sub	None	None	None	None	None	None	None
39	<eos>	38	0	None	None	None	None	None	None	None
