1	(	0	<sos>	None	None	None	None	None	None	None
2	a	1	(	None	None	None	None	None	None	None
3	\frac	2	a	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	1	4	above	None	None	None	None	None	None	None
6	-	5	1	None	None	None	None	None	None	None
7	t	6	-	None	None	None	None	None	None	None
8	struct	7	t	None	None	None	sup	None	None	None
9	2	8	sup	None	None	None	None	None	None	None
10	<eos>	9	2	None	None	None	None	None	None	None
11	1	4	below	None	None	None	None	None	None	None
12	+	11	1	None	None	None	None	None	None	None
13	t	12	+	None	None	None	None	None	None	None
14	struct	13	t	None	None	None	sup	None	None	None
15	2	14	sup	None	None	None	None	None	None	None
16	<eos>	15	2	None	None	None	None	None	None	None
17	,	4	right	None	None	None	None	None	None	None
18	\frac	17	,	None	None	None	None	None	None	None
19	struct	18	\frac	above	below	None	None	None	None	right
20	2	19	above	None	None	None	None	None	None	None
21	b	20	2	None	None	None	None	None	None	None
22	t	21	b	None	None	None	None	None	None	None
23	<eos>	22	t	None	None	None	None	None	None	None
24	1	19	below	None	None	None	None	None	None	None
25	+	24	1	None	None	None	None	None	None	None
26	t	25	+	None	None	None	None	None	None	None
27	struct	26	t	None	None	None	sup	None	None	None
28	2	27	sup	None	None	None	None	None	None	None
29	<eos>	28	2	None	None	None	None	None	None	None
30	)	19	right	None	None	None	None	None	None	None
31	<eos>	30	)	None	None	None	None	None	None	None
