1	A	0	<sos>	None	None	None	None	None	None	None
2	=	1	A	None	None	None	None	None	None	None
3	\sqrt	2	=	None	None	None	None	None	None	None
4	struct	3	\sqrt	None	None	None	None	None	inside	right
5	a	4	inside	None	None	None	None	None	None	None
6	+	5	a	None	None	None	None	None	None	None
7	\frac	6	+	None	None	None	None	None	None	None
8	struct	7	\frac	above	below	None	None	None	None	None
9	1	8	above	None	None	None	None	None	None	None
10	<eos>	9	1	None	None	None	None	None	None	None
11	\sqrt	8	below	None	None	None	None	None	None	None
12	struct	11	\sqrt	None	None	None	None	None	inside	None
13	a	12	inside	None	None	None	None	None	None	None
14	+	13	a	None	None	None	None	None	None	None
15	\frac	14	+	None	None	None	None	None	None	None
16	struct	15	\frac	above	below	None	None	None	None	None
17	1	16	above	None	None	None	None	None	None	None
18	<eos>	17	1	None	None	None	None	None	None	None
19	\sqrt	16	below	None	None	None	None	None	None	None
20	struct	19	\sqrt	None	None	None	None	None	inside	None
21	a	20	inside	None	None	None	None	None	None	None
22	<eos>	21	a	None	None	None	None	None	None	None
23	+	4	right	None	None	None	None	None	None	None
24	\sqrt	23	+	None	None	None	None	None	None	None
25	struct	24	\sqrt	None	None	None	None	None	inside	None
26	b	25	inside	None	None	None	None	None	None	None
27	<eos>	26	b	None	None	None	None	None	None	None
