1	\sqrt	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\sqrt	None	None	None	None	None	inside	right
3	\frac	2	inside	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	None
5	\sum	4	above	None	None	None	None	None	None	None
6	struct	5	\sum	above	below	None	None	None	None	right
7	i	6	below	None	None	None	None	None	None	None
8	=	7	i	None	None	None	None	None	None	None
9	1	8	=	None	None	None	None	None	None	None
10	<eos>	9	1	None	None	None	None	None	None	None
11	n	6	above	None	None	None	None	None	None	None
12	<eos>	11	n	None	None	None	None	None	None	None
13	x	6	right	None	None	None	None	None	None	None
14	struct	13	x	None	None	sub	sup	None	None	None
15	i	14	sub	None	None	None	None	None	None	None
16	<eos>	15	i	None	None	None	None	None	None	None
17	2	14	sup	None	None	None	None	None	None	None
18	<eos>	17	2	None	None	None	None	None	None	None
19	n	4	below	None	None	None	None	None	None	None
20	<eos>	19	n	None	None	None	None	None	None	None
21	\geq	2	right	None	None	None	None	None	None	None
22	\frac	21	\geq	None	None	None	None	None	None	None
23	struct	22	\frac	above	below	None	None	None	None	None
24	\sum	23	above	None	None	None	None	None	None	None
25	struct	24	\sum	above	below	None	None	None	None	right
26	i	25	below	None	None	None	None	None	None	None
27	=	26	i	None	None	None	None	None	None	None
28	1	27	=	None	None	None	None	None	None	None
29	<eos>	28	1	None	None	None	None	None	None	None
30	n	25	above	None	None	None	None	None	None	None
31	<eos>	30	n	None	None	None	None	None	None	None
32	x	25	right	None	None	None	None	None	None	None
33	struct	32	x	None	None	sub	None	None	None	None
34	i	33	sub	None	None	None	None	None	None	None
35	<eos>	34	i	None	None	None	None	None	None	None
36	n	23	below	None	None	None	None	None	None	None
37	<eos>	36	n	None	None	None	None	None	None	None
