1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	None
3	1	2	above	None	None	None	None	None	None	None
4	struct	3	1	None	None	None	sup	None	None	right
5	2	4	sup	None	None	None	None	None	None	None
6	<eos>	5	2	None	None	None	None	None	None	None
7	+	4	right	None	None	None	None	None	None	None
8	2	7	+	None	None	None	None	None	None	None
9	struct	8	2	None	None	None	sup	None	None	right
10	3	9	sup	None	None	None	None	None	None	None
11	<eos>	10	3	None	None	None	None	None	None	None
12	+	9	right	None	None	None	None	None	None	None
13	3	12	+	None	None	None	None	None	None	None
14	struct	13	3	None	None	None	sup	None	None	right
15	4	14	sup	None	None	None	None	None	None	None
16	<eos>	15	4	None	None	None	None	None	None	None
17	+	14	right	None	None	None	None	None	None	None
18	4	17	+	None	None	None	None	None	None	None
19	struct	18	4	None	None	None	sup	None	None	None
20	5	19	sup	None	None	None	None	None	None	None
21	<eos>	20	5	None	None	None	None	None	None	None
22	5	2	below	None	None	None	None	None	None	None
23	struct	22	5	None	None	None	sup	None	None	right
24	6	23	sup	None	None	None	None	None	None	None
25	<eos>	24	6	None	None	None	None	None	None	None
26	+	23	right	None	None	None	None	None	None	None
27	6	26	+	None	None	None	None	None	None	None
28	struct	27	6	None	None	None	sup	None	None	right
29	7	28	sup	None	None	None	None	None	None	None
30	<eos>	29	7	None	None	None	None	None	None	None
31	+	28	right	None	None	None	None	None	None	None
32	7	31	+	None	None	None	None	None	None	None
33	struct	32	7	None	None	None	sup	None	None	right
34	8	33	sup	None	None	None	None	None	None	None
35	<eos>	34	8	None	None	None	None	None	None	None
36	+	33	right	None	None	None	None	None	None	None
37	8	36	+	None	None	None	None	None	None	None
38	struct	37	8	None	None	None	sup	None	None	None
39	9	38	sup	None	None	None	None	None	None	None
40	<eos>	39	9	None	None	None	None	None	None	None
