1	p	0	<sos>	None	None	None	None	None	None	None
2	(	1	p	None	None	None	None	None	None	None
3	z	2	(	None	None	None	None	None	None	None
4	)	3	z	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	3	5	=	None	None	None	None	None	None	None
7	\cdot	6	3	None	None	None	None	None	None	None
8	(	7	\cdot	None	None	None	None	None	None	None
9	z	8	(	None	None	None	None	None	None	None
10	-	9	z	None	None	None	None	None	None	None
11	a	10	-	None	None	None	None	None	None	None
12	)	11	a	None	None	None	None	None	None	None
13	\cdot	12	)	None	None	None	None	None	None	None
14	(	13	\cdot	None	None	None	None	None	None	None
15	z	14	(	None	None	None	None	None	None	None
16	-	15	z	None	None	None	None	None	None	None
17	b	16	-	None	None	None	None	None	None	None
18	)	17	b	None	None	None	None	None	None	None
19	\cdot	18	)	None	None	None	None	None	None	None
20	(	19	\cdot	None	None	None	None	None	None	None
21	z	20	(	None	None	None	None	None	None	None
22	-	21	z	None	None	None	None	None	None	None
23	c	22	-	None	None	None	None	None	None	None
24	)	23	c	None	None	None	None	None	None	None
25	<eos>	24	)	None	None	None	None	None	None	None
