1	\lim	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\lim	None	None	sub	None	None	None	right
3	n	2	sub	None	None	None	None	None	None	None
4	\rightarrow	3	n	None	None	None	None	None	None	None
5	\infty	4	\rightarrow	None	None	None	None	None	None	None
6	<eos>	5	\infty	None	None	None	None	None	None	None
7	\frac	2	right	None	None	None	None	None	None	None
8	struct	7	\frac	above	below	None	None	None	None	right
9	n	8	above	None	None	None	None	None	None	None
10	struct	9	n	None	None	None	sup	None	None	right
11	2	10	sup	None	None	None	None	None	None	None
12	<eos>	11	2	None	None	None	None	None	None	None
13	+	10	right	None	None	None	None	None	None	None
14	3	13	+	None	None	None	None	None	None	None
15	n	14	3	None	None	None	None	None	None	None
16	<eos>	15	n	None	None	None	None	None	None	None
17	2	8	below	None	None	None	None	None	None	None
18	n	17	2	None	None	None	None	None	None	None
19	struct	18	n	None	None	None	sup	None	None	right
20	2	19	sup	None	None	None	None	None	None	None
21	<eos>	20	2	None	None	None	None	None	None	None
22	+	19	right	None	None	None	None	None	None	None
23	1	22	+	None	None	None	None	None	None	None
24	<eos>	23	1	None	None	None	None	None	None	None
25	=	8	right	None	None	None	None	None	None	None
26	\frac	25	=	None	None	None	None	None	None	None
27	struct	26	\frac	above	below	None	None	None	None	None
28	1	27	above	None	None	None	None	None	None	None
29	<eos>	28	1	None	None	None	None	None	None	None
30	2	27	below	None	None	None	None	None	None	None
31	<eos>	30	2	None	None	None	None	None	None	None
