1	c	0	<sos>	None	None	None	None	None	None	None
2	struct	1	c	None	None	None	sup	None	None	right
3	2	2	sup	None	None	None	None	None	None	None
4	<eos>	3	2	None	None	None	None	None	None	None
5	=	2	right	None	None	None	None	None	None	None
6	a	5	=	None	None	None	None	None	None	None
7	struct	6	a	None	None	None	sup	None	None	right
8	2	7	sup	None	None	None	None	None	None	None
9	<eos>	8	2	None	None	None	None	None	None	None
10	+	7	right	None	None	None	None	None	None	None
11	b	10	+	None	None	None	None	None	None	None
12	struct	11	b	None	None	None	sup	None	None	right
13	2	12	sup	None	None	None	None	None	None	None
14	<eos>	13	2	None	None	None	None	None	None	None
15	+	12	right	None	None	None	None	None	None	None
16	a	15	+	None	None	None	None	None	None	None
17	b	16	a	None	None	None	None	None	None	None
18	<eos>	17	b	None	None	None	None	None	None	None
