1	\sqrt	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\sqrt	None	None	None	None	None	inside	None
3	x	2	inside	None	None	None	None	None	None	None
4	-	3	x	None	None	None	None	None	None	None
5	y	4	-	None	None	None	None	None	None	None
6	-	5	y	None	None	None	None	None	None	None
7	z	6	-	None	None	None	None	None	None	None
8	+	7	z	None	None	None	None	None	None	None
9	x	8	+	None	None	None	None	None	None	None
10	struct	9	x	None	None	None	sup	None	None	right
11	2	10	sup	None	None	None	None	None	None	None
12	<eos>	11	2	None	None	None	None	None	None	None
13	+	10	right	None	None	None	None	None	None	None
14	y	13	+	None	None	None	None	None	None	None
15	struct	14	y	None	None	None	sup	None	None	right
16	2	15	sup	None	None	None	None	None	None	None
17	<eos>	16	2	None	None	None	None	None	None	None
18	+	15	right	None	None	None	None	None	None	None
19	z	18	+	None	None	None	None	None	None	None
20	struct	19	z	None	None	None	sup	None	None	None
21	2	20	sup	None	None	None	None	None	None	None
22	<eos>	21	2	None	None	None	None	None	None	None
