1	\lim	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\lim	None	None	sub	None	None	None	right
3	x	2	sub	None	None	None	None	None	None	None
4	\rightarrow	3	x	None	None	None	None	None	None	None
5	\frac	4	\rightarrow	None	None	None	None	None	None	None
6	struct	5	\frac	above	below	None	None	None	None	None
7	1	6	above	None	None	None	None	None	None	None
8	<eos>	7	1	None	None	None	None	None	None	None
9	4	6	below	None	None	None	None	None	None	None
10	<eos>	9	4	None	None	None	None	None	None	None
11	\frac	2	right	None	None	None	None	None	None	None
12	struct	11	\frac	above	below	None	None	None	None	None
13	1	12	above	None	None	None	None	None	None	None
14	-	13	1	None	None	None	None	None	None	None
15	4	14	-	None	None	None	None	None	None	None
16	struct	15	4	None	None	None	sup	None	None	None
17	x	16	sup	None	None	None	None	None	None	None
18	-	17	x	None	None	None	None	None	None	None
19	\frac	18	-	None	None	None	None	None	None	None
20	struct	19	\frac	above	below	None	None	None	None	None
21	1	20	above	None	None	None	None	None	None	None
22	<eos>	21	1	None	None	None	None	None	None	None
23	4	20	below	None	None	None	None	None	None	None
24	<eos>	23	4	None	None	None	None	None	None	None
25	1	12	below	None	None	None	None	None	None	None
26	-	25	1	None	None	None	None	None	None	None
27	4	26	-	None	None	None	None	None	None	None
28	x	27	4	None	None	None	None	None	None	None
29	<eos>	28	x	None	None	None	None	None	None	None
