1	r	0	<sos>	None	None	None	None	None	None	None
2	struct	1	r	None	None	sub	None	None	None	right
3	k	2	sub	None	None	None	None	None	None	None
4	<eos>	3	k	None	None	None	None	None	None	None
5	=	2	right	None	None	None	None	None	None	None
6	\frac	5	=	None	None	None	None	None	None	None
7	struct	6	\frac	above	below	None	None	None	None	None
8	\int	7	above	None	None	None	None	None	None	None
9	struct	8	\int	None	None	sub	sup	None	None	right
10	t	9	sub	None	None	None	None	None	None	None
11	struct	10	t	None	None	sub	None	None	None	None
12	k	11	sub	None	None	None	None	None	None	None
13	<eos>	12	k	None	None	None	None	None	None	None
14	t	9	sup	None	None	None	None	None	None	None
15	struct	14	t	None	None	sub	None	None	None	None
16	k	15	sub	None	None	None	None	None	None	None
17	+	16	k	None	None	None	None	None	None	None
18	1	17	+	None	None	None	None	None	None	None
19	<eos>	18	1	None	None	None	None	None	None	None
20	x	9	right	None	None	None	None	None	None	None
21	p	20	x	None	None	None	None	None	None	None
22	struct	21	p	None	None	sub	None	None	None	right
23	X	22	sub	None	None	None	None	None	None	None
24	<eos>	23	X	None	None	None	None	None	None	None
25	(	22	right	None	None	None	None	None	None	None
26	x	25	(	None	None	None	None	None	None	None
27	)	26	x	None	None	None	None	None	None	None
28	<eos>	27	)	None	None	None	None	None	None	None
29	\int	7	below	None	None	None	None	None	None	None
30	struct	29	\int	None	None	sub	sup	None	None	right
31	t	30	sub	None	None	None	None	None	None	None
32	struct	31	t	None	None	sub	None	None	None	None
33	k	32	sub	None	None	None	None	None	None	None
34	<eos>	33	k	None	None	None	None	None	None	None
35	t	30	sup	None	None	None	None	None	None	None
36	struct	35	t	None	None	sub	None	None	None	None
37	k	36	sub	None	None	None	None	None	None	None
38	+	37	k	None	None	None	None	None	None	None
39	1	38	+	None	None	None	None	None	None	None
40	<eos>	39	1	None	None	None	None	None	None	None
41	p	30	right	None	None	None	None	None	None	None
42	struct	41	p	None	None	sub	None	None	None	right
43	X	42	sub	None	None	None	None	None	None	None
44	<eos>	43	X	None	None	None	None	None	None	None
45	(	42	right	None	None	None	None	None	None	None
46	x	45	(	None	None	None	None	None	None	None
47	)	46	x	None	None	None	None	None	None	None
48	<eos>	47	)	None	None	None	None	None	None	None
