1	x	0	<sos>	None	None	None	None	None	None	None
2	=	1	x	None	None	None	None	None	None	None
3	\beta	2	=	None	None	None	None	None	None	None
4	struct	3	\beta	None	None	sub	None	None	None	right
5	3	4	sub	None	None	None	None	None	None	None
6	<eos>	5	3	None	None	None	None	None	None	None
7	y	4	right	None	None	None	None	None	None	None
8	struct	7	y	None	None	sub	None	None	None	right
9	3	8	sub	None	None	None	None	None	None	None
10	<eos>	9	3	None	None	None	None	None	None	None
11	+	8	right	None	None	None	None	None	None	None
12	\ldots	11	+	None	None	None	None	None	None	None
13	+	12	\ldots	None	None	None	None	None	None	None
14	\beta	13	+	None	None	None	None	None	None	None
15	struct	14	\beta	None	None	sub	None	None	None	right
16	n	15	sub	None	None	None	None	None	None	None
17	+	16	n	None	None	None	None	None	None	None
18	1	17	+	None	None	None	None	None	None	None
19	<eos>	18	1	None	None	None	None	None	None	None
20	y	15	right	None	None	None	None	None	None	None
21	struct	20	y	None	None	sub	None	None	None	None
22	n	21	sub	None	None	None	None	None	None	None
23	+	22	n	None	None	None	None	None	None	None
24	1	23	+	None	None	None	None	None	None	None
25	<eos>	24	1	None	None	None	None	None	None	None
