1	h	0	<sos>	None	None	None	None	None	None	None
2	struct	1	h	None	None	sub	sup	None	None	right
3	k	2	sub	None	None	None	None	None	None	None
4	+	3	k	None	None	None	None	None	None	None
5	q	4	+	None	None	None	None	None	None	None
6	(	5	q	None	None	None	None	None	None	None
7	k	6	(	None	None	None	None	None	None	None
8	+	7	k	None	None	None	None	None	None	None
9	1	8	+	None	None	None	None	None	None	None
10	)	9	1	None	None	None	None	None	None	None
11	<eos>	10	)	None	None	None	None	None	None	None
12	2	2	sup	None	None	None	None	None	None	None
13	<eos>	12	2	None	None	None	None	None	None	None
14	-	2	right	None	None	None	None	None	None	None
15	p	14	-	None	None	None	None	None	None	None
16	k	15	p	None	None	None	None	None	None	None
17	struct	16	k	None	None	sub	sup	None	None	right
18	k	17	sub	None	None	None	None	None	None	None
19	+	18	k	None	None	None	None	None	None	None
20	q	19	+	None	None	None	None	None	None	None
21	(	20	q	None	None	None	None	None	None	None
22	k	21	(	None	None	None	None	None	None	None
23	+	22	k	None	None	None	None	None	None	None
24	1	23	+	None	None	None	None	None	None	None
25	)	24	1	None	None	None	None	None	None	None
26	<eos>	25	)	None	None	None	None	None	None	None
27	2	17	sup	None	None	None	None	None	None	None
28	<eos>	27	2	None	None	None	None	None	None	None
29	=	17	right	None	None	None	None	None	None	None
30	(	29	=	None	None	None	None	None	None	None
31	-	30	(	None	None	None	None	None	None	None
32	1	31	-	None	None	None	None	None	None	None
33	)	32	1	None	None	None	None	None	None	None
34	struct	33	)	None	None	None	sup	None	None	None
35	q	34	sup	None	None	None	None	None	None	None
36	(	35	q	None	None	None	None	None	None	None
37	k	36	(	None	None	None	None	None	None	None
38	+	37	k	None	None	None	None	None	None	None
39	1	38	+	None	None	None	None	None	None	None
40	)	39	1	None	None	None	None	None	None	None
41	<eos>	40	)	None	None	None	None	None	None	None
