1	s	0	<sos>	None	None	None	None	None	None	None
2	=	1	s	None	None	None	None	None	None	None
3	(	2	=	None	None	None	None	None	None	None
4	p	3	(	None	None	None	None	None	None	None
5	struct	4	p	None	None	sub	None	None	None	right
6	1	5	sub	None	None	None	None	None	None	None
7	<eos>	6	1	None	None	None	None	None	None	None
8	+	5	right	None	None	None	None	None	None	None
9	p	8	+	None	None	None	None	None	None	None
10	struct	9	p	None	None	sub	None	None	None	right
11	2	10	sub	None	None	None	None	None	None	None
12	<eos>	11	2	None	None	None	None	None	None	None
13	)	10	right	None	None	None	None	None	None	None
14	struct	13	)	None	None	None	sup	None	None	right
15	2	14	sup	None	None	None	None	None	None	None
16	<eos>	15	2	None	None	None	None	None	None	None
17	=	14	right	None	None	None	None	None	None	None
18	(	17	=	None	None	None	None	None	None	None
19	p	18	(	None	None	None	None	None	None	None
20	struct	19	p	None	None	sub	None	None	None	right
21	3	20	sub	None	None	None	None	None	None	None
22	<eos>	21	3	None	None	None	None	None	None	None
23	+	20	right	None	None	None	None	None	None	None
24	p	23	+	None	None	None	None	None	None	None
25	struct	24	p	None	None	sub	None	None	None	right
26	4	25	sub	None	None	None	None	None	None	None
27	<eos>	26	4	None	None	None	None	None	None	None
28	)	25	right	None	None	None	None	None	None	None
29	struct	28	)	None	None	None	sup	None	None	None
30	2	29	sup	None	None	None	None	None	None	None
31	<eos>	30	2	None	None	None	None	None	None	None
