1	u	0	<sos>	None	None	None	None	None	None	None
2	struct	1	u	None	None	None	sup	None	None	right
3	3	2	sup	None	None	None	None	None	None	None
4	<eos>	3	3	None	None	None	None	None	None	None
5	=	2	right	None	None	None	None	None	None	None
6	2	5	=	None	None	None	None	None	None	None
7	+	6	2	None	None	None	None	None	None	None
8	\sqrt	7	+	None	None	None	None	None	None	None
9	struct	8	\sqrt	None	None	None	None	None	inside	right
10	-	9	inside	None	None	None	None	None	None	None
11	1	10	-	None	None	None	None	None	None	None
12	2	11	1	None	None	None	None	None	None	None
13	1	12	2	None	None	None	None	None	None	None
14	<eos>	13	1	None	None	None	None	None	None	None
15	=	9	right	None	None	None	None	None	None	None
16	2	15	=	None	None	None	None	None	None	None
17	+	16	2	None	None	None	None	None	None	None
18	1	17	+	None	None	None	None	None	None	None
19	1	18	1	None	None	None	None	None	None	None
20	\sqrt	19	1	None	None	None	None	None	None	None
21	struct	20	\sqrt	None	None	None	None	None	inside	None
22	-	21	inside	None	None	None	None	None	None	None
23	1	22	-	None	None	None	None	None	None	None
24	<eos>	23	1	None	None	None	None	None	None	None
