1	q	0	<sos>	None	None	None	None	None	None	None
2	(	1	q	None	None	None	None	None	None	None
3	x	2	(	None	None	None	None	None	None	None
4	)	3	x	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	x	5	=	None	None	None	None	None	None	None
7	struct	6	x	None	None	sub	sup	None	None	right
8	1	7	sub	None	None	None	None	None	None	None
9	<eos>	8	1	None	None	None	None	None	None	None
10	2	7	sup	None	None	None	None	None	None	None
11	<eos>	10	2	None	None	None	None	None	None	None
12	+	7	right	None	None	None	None	None	None	None
13	x	12	+	None	None	None	None	None	None	None
14	struct	13	x	None	None	sub	sup	None	None	right
15	2	14	sub	None	None	None	None	None	None	None
16	<eos>	15	2	None	None	None	None	None	None	None
17	2	14	sup	None	None	None	None	None	None	None
18	<eos>	17	2	None	None	None	None	None	None	None
19	+	14	right	None	None	None	None	None	None	None
20	x	19	+	None	None	None	None	None	None	None
21	struct	20	x	None	None	sub	sup	None	None	right
22	3	21	sub	None	None	None	None	None	None	None
23	<eos>	22	3	None	None	None	None	None	None	None
24	2	21	sup	None	None	None	None	None	None	None
25	<eos>	24	2	None	None	None	None	None	None	None
26	-	21	right	None	None	None	None	None	None	None
27	2	26	-	None	None	None	None	None	None	None
28	x	27	2	None	None	None	None	None	None	None
29	struct	28	x	None	None	sub	None	None	None	right
30	1	29	sub	None	None	None	None	None	None	None
31	<eos>	30	1	None	None	None	None	None	None	None
32	x	29	right	None	None	None	None	None	None	None
33	struct	32	x	None	None	sub	None	None	None	right
34	2	33	sub	None	None	None	None	None	None	None
35	<eos>	34	2	None	None	None	None	None	None	None
36	-	33	right	None	None	None	None	None	None	None
37	2	36	-	None	None	None	None	None	None	None
38	x	37	2	None	None	None	None	None	None	None
39	struct	38	x	None	None	sub	None	None	None	right
40	2	39	sub	None	None	None	None	None	None	None
41	<eos>	40	2	None	None	None	None	None	None	None
42	x	39	right	None	None	None	None	None	None	None
43	struct	42	x	None	None	sub	None	None	None	right
44	3	43	sub	None	None	None	None	None	None	None
45	<eos>	44	3	None	None	None	None	None	None	None
46	-	43	right	None	None	None	None	None	None	None
47	2	46	-	None	None	None	None	None	None	None
48	x	47	2	None	None	None	None	None	None	None
49	struct	48	x	None	None	sub	None	None	None	right
50	3	49	sub	None	None	None	None	None	None	None
51	<eos>	50	3	None	None	None	None	None	None	None
52	x	49	right	None	None	None	None	None	None	None
53	struct	52	x	None	None	sub	None	None	None	None
54	1	53	sub	None	None	None	None	None	None	None
55	<eos>	54	1	None	None	None	None	None	None	None
