1	z	0	<sos>	None	None	None	None	None	None	None
2	(	1	z	None	None	None	None	None	None	None
3	X	2	(	None	None	None	None	None	None	None
4	)	3	X	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	\sum	5	=	None	None	None	None	None	None	None
7	struct	6	\sum	above	below	None	None	None	None	right
8	i	7	below	None	None	None	None	None	None	None
9	=	8	i	None	None	None	None	None	None	None
10	1	9	=	None	None	None	None	None	None	None
11	<eos>	10	1	None	None	None	None	None	None	None
12	n	7	above	None	None	None	None	None	None	None
13	<eos>	12	n	None	None	None	None	None	None	None
14	x	7	right	None	None	None	None	None	None	None
15	struct	14	x	None	None	sub	None	None	None	right
16	i	15	sub	None	None	None	None	None	None	None
17	<eos>	16	i	None	None	None	None	None	None	None
18	p	15	right	None	None	None	None	None	None	None
19	struct	18	p	None	None	sub	None	None	None	right
20	i	19	sub	None	None	None	None	None	None	None
21	<eos>	20	i	None	None	None	None	None	None	None
22	+	19	right	None	None	None	None	None	None	None
23	\sum	22	+	None	None	None	None	None	None	None
24	struct	23	\sum	above	below	None	None	None	None	right
25	i	24	below	None	None	None	None	None	None	None
26	=	25	i	None	None	None	None	None	None	None
27	1	26	=	None	None	None	None	None	None	None
28	<eos>	27	1	None	None	None	None	None	None	None
29	n	24	above	None	None	None	None	None	None	None
30	<eos>	29	n	None	None	None	None	None	None	None
31	\sum	24	right	None	None	None	None	None	None	None
32	struct	31	\sum	above	below	None	None	None	None	right
33	j	32	below	None	None	None	None	None	None	None
34	=	33	j	None	None	None	None	None	None	None
35	1	34	=	None	None	None	None	None	None	None
36	<eos>	35	1	None	None	None	None	None	None	None
37	n	32	above	None	None	None	None	None	None	None
38	<eos>	37	n	None	None	None	None	None	None	None
39	x	32	right	None	None	None	None	None	None	None
40	struct	39	x	None	None	sub	None	None	None	right
41	i	40	sub	None	None	None	None	None	None	None
42	<eos>	41	i	None	None	None	None	None	None	None
43	x	40	right	None	None	None	None	None	None	None
44	struct	43	x	None	None	sub	None	None	None	right
45	j	44	sub	None	None	None	None	None	None	None
46	<eos>	45	j	None	None	None	None	None	None	None
47	g	44	right	None	None	None	None	None	None	None
48	struct	47	g	None	None	sub	None	None	None	None
49	i	48	sub	None	None	None	None	None	None	None
50	j	49	i	None	None	None	None	None	None	None
51	<eos>	50	j	None	None	None	None	None	None	None
