1	\sum	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\sum	above	below	None	None	None	None	right
3	k	2	below	None	None	None	None	None	None	None
4	=	3	k	None	None	None	None	None	None	None
5	0	4	=	None	None	None	None	None	None	None
6	<eos>	5	0	None	None	None	None	None	None	None
7	m	2	above	None	None	None	None	None	None	None
8	-	7	m	None	None	None	None	None	None	None
9	1	8	-	None	None	None	None	None	None	None
10	<eos>	9	1	None	None	None	None	None	None	None
11	k	2	right	None	None	None	None	None	None	None
12	struct	11	k	None	None	None	sup	None	None	right
13	n	12	sup	None	None	None	None	None	None	None
14	<eos>	13	n	None	None	None	None	None	None	None
15	=	12	right	None	None	None	None	None	None	None
16	0	15	=	None	None	None	None	None	None	None
17	struct	16	0	None	None	None	sup	None	None	right
18	n	17	sup	None	None	None	None	None	None	None
19	<eos>	18	n	None	None	None	None	None	None	None
20	+	17	right	None	None	None	None	None	None	None
21	1	20	+	None	None	None	None	None	None	None
22	struct	21	1	None	None	None	sup	None	None	right
23	n	22	sup	None	None	None	None	None	None	None
24	<eos>	23	n	None	None	None	None	None	None	None
25	+	22	right	None	None	None	None	None	None	None
26	2	25	+	None	None	None	None	None	None	None
27	struct	26	2	None	None	None	sup	None	None	right
28	n	27	sup	None	None	None	None	None	None	None
29	<eos>	28	n	None	None	None	None	None	None	None
30	+	27	right	None	None	None	None	None	None	None
31	\ldots	30	+	None	None	None	None	None	None	None
32	+	31	\ldots	None	None	None	None	None	None	None
33	(	32	+	None	None	None	None	None	None	None
34	m	33	(	None	None	None	None	None	None	None
35	-	34	m	None	None	None	None	None	None	None
36	1	35	-	None	None	None	None	None	None	None
37	)	36	1	None	None	None	None	None	None	None
38	struct	37	)	None	None	None	sup	None	None	None
39	n	38	sup	None	None	None	None	None	None	None
40	<eos>	39	n	None	None	None	None	None	None	None
