1	(	0	<sos>	None	None	None	None	None	None	None
2	p	1	(	None	None	None	None	None	None	None
3	struct	2	p	None	None	sub	None	None	None	right
4	1	3	sub	None	None	None	None	None	None	None
5	<eos>	4	1	None	None	None	None	None	None	None
6	,	3	right	None	None	None	None	None	None	None
7	p	6	,	None	None	None	None	None	None	None
8	struct	7	p	None	None	sub	None	None	None	right
9	2	8	sub	None	None	None	None	None	None	None
10	<eos>	9	2	None	None	None	None	None	None	None
11	,	8	right	None	None	None	None	None	None	None
12	d	11	,	None	None	None	None	None	None	None
13	struct	12	d	None	None	sub	None	None	None	right
14	1	13	sub	None	None	None	None	None	None	None
15	<eos>	14	1	None	None	None	None	None	None	None
16	,	13	right	None	None	None	None	None	None	None
17	p	16	,	None	None	None	None	None	None	None
18	struct	17	p	None	None	sub	None	None	None	right
19	3	18	sub	None	None	None	None	None	None	None
20	<eos>	19	3	None	None	None	None	None	None	None
21	,	18	right	None	None	None	None	None	None	None
22	d	21	,	None	None	None	None	None	None	None
23	struct	22	d	None	None	sub	None	None	None	right
24	2	23	sub	None	None	None	None	None	None	None
25	<eos>	24	2	None	None	None	None	None	None	None
26	,	23	right	None	None	None	None	None	None	None
27	d	26	,	None	None	None	None	None	None	None
28	struct	27	d	None	None	sub	None	None	None	right
29	3	28	sub	None	None	None	None	None	None	None
30	<eos>	29	3	None	None	None	None	None	None	None
31	,	28	right	None	None	None	None	None	None	None
32	d	31	,	None	None	None	None	None	None	None
33	struct	32	d	None	None	sub	None	None	None	right
34	4	33	sub	None	None	None	None	None	None	None
35	<eos>	34	4	None	None	None	None	None	None	None
36	)	33	right	None	None	None	None	None	None	None
37	<eos>	36	)	None	None	None	None	None	None	None
