1	c	0	<sos>	None	None	None	None	None	None	None
2	struct	1	c	None	None	sub	None	None	None	right
3	n	2	sub	None	None	None	None	None	None	None
4	<eos>	3	n	None	None	None	None	None	None	None
5	=	2	right	None	None	None	None	None	None	None
6	\frac	5	=	None	None	None	None	None	None	None
7	struct	6	\frac	above	below	None	None	None	None	right
8	1	7	above	None	None	None	None	None	None	None
9	<eos>	8	1	None	None	None	None	None	None	None
10	n	7	below	None	None	None	None	None	None	None
11	<eos>	10	n	None	None	None	None	None	None	None
12	\sum	7	right	None	None	None	None	None	None	None
13	struct	12	\sum	above	below	None	None	None	None	right
14	k	13	below	None	None	None	None	None	None	None
15	=	14	k	None	None	None	None	None	None	None
16	1	15	=	None	None	None	None	None	None	None
17	<eos>	16	1	None	None	None	None	None	None	None
18	n	13	above	None	None	None	None	None	None	None
19	<eos>	18	n	None	None	None	None	None	None	None
20	a	13	right	None	None	None	None	None	None	None
21	struct	20	a	None	None	sub	None	None	None	right
22	k	21	sub	None	None	None	None	None	None	None
23	<eos>	22	k	None	None	None	None	None	None	None
24	=	21	right	None	None	None	None	None	None	None
25	\frac	24	=	None	None	None	None	None	None	None
26	struct	25	\frac	above	below	None	None	None	None	None
27	a	26	above	None	None	None	None	None	None	None
28	struct	27	a	None	None	sub	None	None	None	right
29	1	28	sub	None	None	None	None	None	None	None
30	<eos>	29	1	None	None	None	None	None	None	None
31	+	28	right	None	None	None	None	None	None	None
32	\ldots	31	+	None	None	None	None	None	None	None
33	+	32	\ldots	None	None	None	None	None	None	None
34	a	33	+	None	None	None	None	None	None	None
35	struct	34	a	None	None	sub	None	None	None	None
36	n	35	sub	None	None	None	None	None	None	None
37	<eos>	36	n	None	None	None	None	None	None	None
38	n	26	below	None	None	None	None	None	None	None
39	<eos>	38	n	None	None	None	None	None	None	None
