1	\frac	0	<sos>	None	None	None	None	None	None	None
2	struct	1	\frac	above	below	None	None	None	None	None
3	a	2	above	None	None	None	None	None	None	None
4	struct	3	a	None	None	sub	None	None	None	right
5	1	4	sub	None	None	None	None	None	None	None
6	<eos>	5	1	None	None	None	None	None	None	None
7	+	4	right	None	None	None	None	None	None	None
8	\ldots	7	+	None	None	None	None	None	None	None
9	+	8	\ldots	None	None	None	None	None	None	None
10	a	9	+	None	None	None	None	None	None	None
11	struct	10	a	None	None	sub	None	None	None	None
12	n	11	sub	None	None	None	None	None	None	None
13	<eos>	12	n	None	None	None	None	None	None	None
14	b	2	below	None	None	None	None	None	None	None
15	struct	14	b	None	None	sub	None	None	None	right
16	1	15	sub	None	None	None	None	None	None	None
17	<eos>	16	1	None	None	None	None	None	None	None
18	+	15	right	None	None	None	None	None	None	None
19	\ldots	18	+	None	None	None	None	None	None	None
20	+	19	\ldots	None	None	None	None	None	None	None
21	b	20	+	None	None	None	None	None	None	None
22	struct	21	b	None	None	sub	None	None	None	None
23	n	22	sub	None	None	None	None	None	None	None
24	<eos>	23	n	None	None	None	None	None	None	None
