1	9	0	<sos>	None	None	None	None	None	None	None
2	5	1	9	None	None	None	None	None	None	None
3	+	2	5	None	None	None	None	None	None	None
4	(	3	+	None	None	None	None	None	None	None
5	(	4	(	None	None	None	None	None	None	None
6	1	5	(	None	None	None	None	None	None	None
7	3	6	1	None	None	None	None	None	None	None
8	8	7	3	None	None	None	None	None	None	None
9	\div	8	8	None	None	None	None	None	None	None
10	3	9	\div	None	None	None	None	None	None	None
11	6	10	3	None	None	None	None	None	None	None
12	)	11	6	None	None	None	None	None	None	None
13	\div	12	)	None	None	None	None	None	None	None
14	(	13	\div	None	None	None	None	None	None	None
15	8	14	(	None	None	None	None	None	None	None
16	6	15	8	None	None	None	None	None	None	None
17	\div	16	6	None	None	None	None	None	None	None
18	1	17	\div	None	None	None	None	None	None	None
19	3	18	1	None	None	None	None	None	None	None
20	1	19	3	None	None	None	None	None	None	None
21	)	20	1	None	None	None	None	None	None	None
22	)	21	)	None	None	None	None	None	None	None
23	\leq	22	)	None	None	None	None	None	None	None
24	1	23	\leq	None	None	None	None	None	None	None
25	0	24	1	None	None	None	None	None	None	None
26	1	25	0	None	None	None	None	None	None	None
27	<eos>	26	1	None	None	None	None	None	None	None
