1	d	0	<sos>	None	None	None	None	None	None	None
2	struct	1	d	None	None	None	sup	None	None	right
3	2	2	sup	None	None	None	None	None	None	None
4	<eos>	3	2	None	None	None	None	None	None	None
5	p	2	right	None	None	None	None	None	None	None
6	q	5	p	None	None	None	None	None	None	None
7	(	6	q	None	None	None	None	None	None	None
8	p	7	(	None	None	None	None	None	None	None
9	struct	8	p	None	None	None	sup	None	None	right
10	2	9	sup	None	None	None	None	None	None	None
11	<eos>	10	2	None	None	None	None	None	None	None
12	-	9	right	None	None	None	None	None	None	None
13	q	12	-	None	None	None	None	None	None	None
14	struct	13	q	None	None	None	sup	None	None	right
15	2	14	sup	None	None	None	None	None	None	None
16	<eos>	15	2	None	None	None	None	None	None	None
17	)	14	right	None	None	None	None	None	None	None
18	<eos>	17	)	None	None	None	None	None	None	None
