1	f	0	<sos>	None	None	None	None	None	None	None
2	(	1	f	None	None	None	None	None	None	None
3	a	2	(	None	None	None	None	None	None	None
4	i	3	a	None	None	None	None	None	None	None
5	+	4	i	None	None	None	None	None	None	None
6	b	5	+	None	None	None	None	None	None	None
7	j	6	b	None	None	None	None	None	None	None
8	+	7	j	None	None	None	None	None	None	None
9	c	8	+	None	None	None	None	None	None	None
10	k	9	c	None	None	None	None	None	None	None
11	)	10	k	None	None	None	None	None	None	None
12	=	11	)	None	None	None	None	None	None	None
13	\frac	12	=	None	None	None	None	None	None	None
14	struct	13	\frac	above	below	None	None	None	None	right
15	1	14	above	None	None	None	None	None	None	None
16	+	15	1	None	None	None	None	None	None	None
17	i	16	+	None	None	None	None	None	None	None
18	+	17	i	None	None	None	None	None	None	None
19	j	18	+	None	None	None	None	None	None	None
20	+	19	j	None	None	None	None	None	None	None
21	k	20	+	None	None	None	None	None	None	None
22	<eos>	21	k	None	None	None	None	None	None	None
23	2	14	below	None	None	None	None	None	None	None
24	<eos>	23	2	None	None	None	None	None	None	None
25	(	14	right	None	None	None	None	None	None	None
26	a	25	(	None	None	None	None	None	None	None
27	i	26	a	None	None	None	None	None	None	None
28	+	27	i	None	None	None	None	None	None	None
29	b	28	+	None	None	None	None	None	None	None
30	j	29	b	None	None	None	None	None	None	None
31	+	30	j	None	None	None	None	None	None	None
32	c	31	+	None	None	None	None	None	None	None
33	k	32	c	None	None	None	None	None	None	None
34	)	33	k	None	None	None	None	None	None	None
35	\frac	34	)	None	None	None	None	None	None	None
36	struct	35	\frac	above	below	None	None	None	None	None
37	1	36	above	None	None	None	None	None	None	None
38	-	37	1	None	None	None	None	None	None	None
39	i	38	-	None	None	None	None	None	None	None
40	-	39	i	None	None	None	None	None	None	None
41	j	40	-	None	None	None	None	None	None	None
42	-	41	j	None	None	None	None	None	None	None
43	k	42	-	None	None	None	None	None	None	None
44	<eos>	43	k	None	None	None	None	None	None	None
45	2	36	below	None	None	None	None	None	None	None
46	<eos>	45	2	None	None	None	None	None	None	None
