1	g	0	<sos>	None	None	None	None	None	None	None
2	(	1	g	None	None	None	None	None	None	None
3	x	2	(	None	None	None	None	None	None	None
4	)	3	x	None	None	None	None	None	None	None
5	=	4	)	None	None	None	None	None	None	None
6	e	5	=	None	None	None	None	None	None	None
7	struct	6	e	None	None	None	sup	None	None	right
8	\sin	7	sup	None	None	None	None	None	None	None
9	(	8	\sin	None	None	None	None	None	None	None
10	x	9	(	None	None	None	None	None	None	None
11	)	10	x	None	None	None	None	None	None	None
12	<eos>	11	)	None	None	None	None	None	None	None
13	(	7	right	None	None	None	None	None	None	None
14	x	13	(	None	None	None	None	None	None	None
15	+	14	x	None	None	None	None	None	None	None
16	\cos	15	+	None	None	None	None	None	None	None
17	(	16	\cos	None	None	None	None	None	None	None
18	x	17	(	None	None	None	None	None	None	None
19	)	18	x	None	None	None	None	None	None	None
20	\sin	19	)	None	None	None	None	None	None	None
21	(	20	\sin	None	None	None	None	None	None	None
22	x	21	(	None	None	None	None	None	None	None
23	)	22	x	None	None	None	None	None	None	None
24	)	23	)	None	None	None	None	None	None	None
25	<eos>	24	)	None	None	None	None	None	None	None
