1	a	0	<sos>	None	None	None	None	None	None	None
2	=	1	a	None	None	None	None	None	None	None
3	\frac	2	=	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	(	4	above	None	None	None	None	None	None	None
6	d	5	(	None	None	None	None	None	None	None
7	struct	6	d	None	None	sub	None	None	None	right
8	1	7	sub	None	None	None	None	None	None	None
9	<eos>	8	1	None	None	None	None	None	None	None
10	+	7	right	None	None	None	None	None	None	None
11	d	10	+	None	None	None	None	None	None	None
12	struct	11	d	None	None	sub	None	None	None	right
13	2	12	sub	None	None	None	None	None	None	None
14	<eos>	13	2	None	None	None	None	None	None	None
15	)	12	right	None	None	None	None	None	None	None
16	<eos>	15	)	None	None	None	None	None	None	None
17	2	4	below	None	None	None	None	None	None	None
18	<eos>	17	2	None	None	None	None	None	None	None
19	=	4	right	None	None	None	None	None	None	None
20	\frac	19	=	None	None	None	None	None	None	None
21	struct	20	\frac	above	below	None	None	None	None	None
22	m	21	above	None	None	None	None	None	None	None
23	(	22	m	None	None	None	None	None	None	None
24	z	23	(	None	None	None	None	None	None	None
25	struct	24	z	None	None	sub	None	None	None	right
26	1	25	sub	None	None	None	None	None	None	None
27	<eos>	26	1	None	None	None	None	None	None	None
28	+	25	right	None	None	None	None	None	None	None
29	z	28	+	None	None	None	None	None	None	None
30	struct	29	z	None	None	sub	None	None	None	right
31	2	30	sub	None	None	None	None	None	None	None
32	<eos>	31	2	None	None	None	None	None	None	None
33	)	30	right	None	None	None	None	None	None	None
34	<eos>	33	)	None	None	None	None	None	None	None
35	2	21	below	None	None	None	None	None	None	None
36	<eos>	35	2	None	None	None	None	None	None	None
